;OBJECTID_1;LAN_ew_AGS;LAN_ew_GEN;LAN_ew_BEZ;LAN_ew_EWZ;OBJECTID;Fallzahl;Aktualisierung;AGS_TXT;GlobalID;faelle_100000_EW;Shape__Area;Shape__Length;Death;cases7_bl_per_100k;cases7_bl;death7_bl;cases7_bl_per_100k_txt;AdmUnitId
0;1;01;Schleswig-Holstein;Land;2910875;15;814724;1656108000000;01;fc5ba936-c95c-432c-8a33-9eb2f30b660f;27988.9723880277;45737314116.8701;2881496.1295035;2594;907.424743419075;26414;0;907,4;1
1;2;02;Hamburg;Freie und Hansestadt;1852478;6;623752;1656108000000;02;0f3e860c-5181-4d3f-a421-1d51f50315ea;33671.2230860501;2089396054.82129;418800.187474072;2717;690.912388703132;12799;5;690,9;2
2;3;03;Niedersachsen;Land;8003421;9;2574734;1656108000000;03;3fd77024-c29b-4843-9be8-682ad48e60c9;32170.4181249493;129983613598.973;4008988.2951652;9614;892.668272729874;71444;5;892,7;3
3;4;04;Bremen;Freie Hansestadt;680130;5;213250;1656108000000;04;4132268b-54de-4327-ac1e-760e915112f1;31354.2999132519;1119156745.43408;335717.737774516;786;693.690912031523;4718;3;693,7;4
4;5;05;Nordrhein-Westfalen;Land;17925570;10;5646024;1656108000000;05;561d658f-3ee5-46e3-bc95-3528c6558ab9;31497.0402614812;87829361998.0295;2648672.50917441;25694;777.838584770247;139432;15;777,8;5
5;6;06;Hessen;Land;6293154;7;1998214;1656108000000;06;93277ac4-e8fc-48c7-8940-028dc2ed66af;31752.1865824355;52359125900.6655;2148243.6201819;10324;762.46346426609;47983;1;762,5;6
6;7;07;Rheinland-Pfalz;Land;4098391;11;1227944;1656108000000;07;e9b4296f-9be2-4e53-9a58-ccf1396cb03d;29961.6117642265;47838767393.1633;1774430.12830596;5742;633.614508718177;25968;5;633,6;7
7;8;08;Baden-Württemberg;Land;11103043;1;3815109;1656108000000;08;80394ddf-c6a4-4a6e-be8e-0259a81b22a9;34360.9315031924;81517323536.8628;2544320.39805124;16269;493.567394091872;54801;9;493,6;8
8;9;09;Bayern;Freistaat;13140183;2;5098273;1656108000000;09;1ff920f4-62cd-4a4f-b8c9-f042f2a3e00a;38799.1019607566;163485540875.077;3898617.90542911;24329;568.127551952663;74653;16;568,1;9
9;10;10;Saarland;Land;983991;12;334676;1656108000000;10;e3396a6f-8a30-4fdf-8df7-def77dd38bea;34012.099704164;6060691818.01318;562678.876124348;1715;822.771752993676;8096;2;822,8;10
10;11;11;Berlin;Land;3664088;3;1092531;1656108000000;11;c7033073-2bb0-486b-97af-5b3c639e7219;29817.2696725624;2402458320.59863;363979.182407356;4639;434.733008595863;15929;0;434,7;11
11;12;12;Brandenburg;Land;2531071;4;816462;1656108000000;12;b560af89-5895-4be4-96f8-0f581cd8a858;32257.5700168032;79801970800.2686;2571385.42188057;5711;391.849932301385;9918;0;391,8;12
12;13;13;Mecklenburg-Vorpommern;Land;1610774;8;507559;1656108000000;13;a27f5628-e790-45be-898d-f0a6841c0f7e;31510.2553182507;65873523064.0757;4131181.10875485;2255;521.985082947701;8408;2;522,0;13
13;14;14;Sachsen;Freistaat;4056941;13;1547830;1656108000000;14;256d2405-a7c8-4fec-93df-29f3c808cd25;38152.6376646838;46626497892.9951;2048279.98573376;15593;328.720580358452;13336;2;328,7;14
14;15;15;Sachsen-Anhalt;Land;2180684;14;737594;1656108000000;15;66106bbe-f04b-4f92-80e1-5b5b30da25b5;33823.9744960755;54177007537.6553;1920386.52842308;5399;355.163792644877;7745;2;355,2;15
15;16;16;Thüringen;Freistaat;2120237;16;722435;1656108000000;16;3a3e2817-bb19-4f8c-8bca-d8ff591140d4;34073.313502217;40685205073.9761;2015719.49965031;7353;218.701965865137;4637;3;218,7;16
